Quarter,Life Satisfaction - Mean Score,Life Satisfaction - Low %,Life Satisfaction - Medium %,Life Satisfaction - High %,Worthwhile - Mean Score,Worthwhile - Low %,Worthwhile - Medium %,Worthwhile - High %,Worthwhile - Very High %,Happiness - Mean Score,Happiness - Low %,Happiness - Medium %,Happiness - High %,Happiness - Very High %,Anxiety - Mean Score,Anxiety - Very Low %,Anxiety - Low %,Anxiety - Medium %,Anxiety - High %
Apr to June 2011 (Q2),7.4,7.2,17.5,49.5,7.6,5.0,15.6,48.6,30.9,7.3,11.2,17.6,38.4,32.8,3.2,35.2,23.8,17.9,23.1
July to Sept 2011 (Q3),7.4,6.7,17.4,49.8,7.7,4.9,15.6,48.7,31.3,7.3,10.8,17.9,38.4,31.7,3.1,36.6,23.6,18.2,21.6
Oct to Dec 2011 (Q4),7.4,6.1,17.1,50.8,7.7,4.5,15.6,49.7,31.3,7.2,10.7,18.8,38.4,30.2,3.1,36.8,23.8,18.0,21.3
Jan to Mar 2012 (Q1),7.4,6.4,17.8,49.8,7.7,4.6,15.6,49.0,31.5,7.3,10.9,17.9,38.4,31.5,3.1,37.7,23.3,18.0,21.1
Apr to June 2012 (Q2),7.4,5.9,17.6,51.2,7.7,4.3,15.6,49.5,30.8,7.3,10.7,18.3,38.4,30.7,3.1,37.2,23.6,17.8,21.3
July to Sept 2012 (Q3),7.5,5.6,17.0,51.1,7.7,4.3,15.6,49.7,31.3,7.3,10.0,17.6,38.4,32.5,3.0,38.1,23.5,17.8,20.6
Oct to Dec 2012 (Q4),7.5,5.5,17.0,51.8,7.7,4.2,15.6,49.7,31.3,7.3,10.4,18.1,38.4,30.1,3.0,37.8,23.7,17.5,21.0
Jan to Mar 2013 (Q1),7.4,5.8,17.1,51.6,7.7,4.5,15.6,49.8,31.2,7.3,10.4,18.0,38.4,29.8,3.0,38.1,23.5,17.6,20.8
Apr to June 2013 (Q2),7.5,5.7,16.1,51.9,7.7,4.3,15.6,49.4,32.3,7.4,9.7,16.7,38.4,32.3,2.9,39.1,23.7,17.3,19.9
July to Sept 2013 (Q3),7.5,5.6,15.9,51.0,7.7,4.2,15.6,49.2,32.8,7.4,9.4,16.5,38.4,34.0,2.9,40.4,24.2,16.3,19.1
Oct to Dec 2013 (Q4),7.5,5.7,16.1,51.8,7.7,4.1,15.6,49.5,32.0,7.3,10.1,17.2,38.4,31.9,3.0,38.4,24.0,16.8,20.7
Jan to Mar 2014 (Q1),7.5,5.3,15.7,52.7,7.8,4.0,15.6,49.8,32.5,7.4,9.7,17.8,38.4,31.4,2.9,39.3,23.6,16.8,20.3
Apr to June 2014 (Q2),7.6,4.8,15.1,51.3,7.8,3.8,15.6,48.9,34.3,7.5,8.9,16.1,38.4,35.0,2.9,40.7,23.0,16.6,19.7
July to Sept 2014 (Q3),7.6,5.0,14.9,51.7,7.8,3.9,15.6,49.2,33.8,7.5,8.7,16.3,38.4,34.6,2.9,40.5,23.4,16.7,19.4
Oct to Dec 2014 (Q4),7.6,4.9,15.0,51.9,7.8,3.9,15.6,49.6,34.0,7.4,9.3,17.6,38.4,32.7,2.9,40.6,23.2,16.7,19.5
Jan to Mar 2015 (Q1),7.6,4.4,14.3,53.0,7.8,3.3,15.6,49.5,34.4,7.4,8.7,16.8,38.4,32.9,2.8,41.1,23.5,16.4,19.0
Apr to June 2015 (Q2),7.7,4.4,13.9,52.2,7.9,3.4,15.6,49.8,34.4,7.5,8.2,15.8,38.4,35.4,2.8,41.5,23.5,16.0,18.9
July to Sept 2015 (Q3),7.6,4.6,14.4,51.7,7.8,3.8,15.6,49.1,34.4,7.5,8.8,16.5,38.4,34.6,2.8,41.1,23.1,16.8,18.9
Oct to Dec 2015 (Q4),7.6,4.6,14.4,52.7,7.8,3.6,15.6,49.6,33.7,7.4,9.1,17.1,38.4,32.9,3.0,39.3,23.3,17.1,20.4
Jan to Mar 2016 (Q1),7.6,4.7,14.2,52.7,7.8,3.6,15.6,49.6,34.0,7.4,9.2,16.8,38.4,32.9,2.9,40.3,23.2,16.8,19.7
Apr to June 2016 (Q2),7.7,4.4,13.6,52.2,7.9,3.5,15.6,49.7,34.8,7.5,8.6,16.2,38.4,34.8,2.9,40.3,23.1,16.7,19.8
July to Sept 2016 (Q3),7.7,4.7,13.8,51.9,7.9,3.7,15.6,49.2,34.8,7.5,8.3,15.9,38.4,35.9,2.9,41.0,23.1,16.6,19.4
Oct to Dec 2016 (Q4),7.7,4.4,13.8,52.4,7.8,3.7,15.6,48.8,35.0,7.5,8.9,16.5,38.4,33.4,2.9,38.9,24.4,16.3,20.4
Jan to Mar 2017 (Q1),7.7,4.7,13.9,51.7,7.9,3.8,15.6,49.1,34.8,7.5,8.8,16.9,38.4,33.9,3.0,39.5,22.9,17.0,20.5
Apr to June 2017 (Q2),7.7,4.3,12.8,52.3,7.9,3.5,15.6,48.2,36.7,7.6,8.1,15.5,38.4,35.9,2.9,40.1,23.4,16.8,19.6
July to Sept 2017 (Q3),7.7,4.4,13.3,52.6,7.9,3.5,15.6,49.3,35.1,7.5,8.1,16.1,38.4,35.2,2.9,40.1,23.5,16.2,20.2
Oct to Dec 2017 (Q4),7.7,4.4,13.9,52.5,7.9,3.7,15.6,48.9,35.4,7.5,8.1,16.8,38.4,34.3,2.9,40.1,23.0,16.6,20.3
